;_11MKA01CE003S_XQ01;_12MKA01CE003S_XQ01;_10MKA01CE003A_XQ01;_11MKA01CE004_XQ01;_12MKA01CE004_XQ01;_10MKA01CE004_XQ01;_10CJA00DU001_ZQ02HW;Potencia_Corrigida_UG01;Potencia_Corrigida_UG02;Potencia_Corrigida_UG03;_11MBA10EU001A_XQ01;_11MBA10EU001H_XQ01;_11MBA10EU001L_XQ01;_11MBA10EU002A_ZQ01;_11MBA10EU006_ZQ01;_12MBA10EU001A_XQ01;_12MBA10EU001H_XQ01;_12MBA10EU001L_XQ01;_12MBA10EU002A_ZQ01;_12MBA10EU006_ZQ01;_00GCL01CL001_XQ01;_00GDL01CL001_XQ01;_00GNK26CL001_XQ01;_00GCR10CL001_XQ01;_00QCKL01CL001_XQ01;_00QCJ01CL001_XQ01;_00QCL01CL001_XQ01;_00QCG01CL001_XQ01CM;_11MBA10CT121S_XQ01;_11MBA10CT123S_XQ01;_11MBA10CT125S_XQ01;_12MBA10CT121S_XQ01;_12MBA10CT123S_XQ01;_12MBA10CT125S_XQ01;_10LBA20FP004_XQ01;_10LBC40CP001_XQ01;_10LBB50FP004_XQ01;_10LBA90FP004_XQ01;_10LBA20FT007A_XQ01;_10LBC40CT001A_XQ01;_10LBB50FT007A_XQ01;_10LBA90CT001A_XQ01;_10MAG10CP002_XQ01;_10MAG10CP003_XQ01;_10MAG10CP004_XQ01;_11BAT01CT001_XQ01HW;_11BAT01CT002_XQ01HW;_11BBT01CT001_XQ01HW;_11BBT01CT002_XQ01HW;_12BAT01CT001_XQ01HW;_12BAT01CT002_XQ01HW;_12BBT01CT001_XQ01HW;_12BBT01CT002_XQ01HW;_10BAT01CT001_XQ01HW;_10BAT01CT002_XQ01HW;HR11;HR12;Heat_Rate_Maua3;_11QUB23CQ002_XQ01HW;_11QUB32CQ002_XQ01HW;_11QUB21CQ002_XQ01HW;_12QUB23CQ002_XQ01HW;_12QUB32CQ002_XQ01HW;_12QUB21CQ002_XQ01HW;_11MBY10EE903_ZQ01;_11MBY10EE913_ZQ30;_11MBY10EE913_ZQ40;_12MBY10EE903_ZQ01;_12MBY10EE913_ZQ30;_12MBY10EE913_ZQ40;_10MAY40EP801_XQ01;_10MAY40EP801_XQ10;_10MAY40EP801_XQ20;_11MBA10CT183S_XQ99;_11MBL05CP003S_XQ01;_11MBL15EG901_ZQ10;_11MBP30CP001S_XQ01;_11MBP30CT001S_OUT;_11MBP10CP003S_XQ01;_11MBP10CT003S_ZQ01;_12MBA10CT183S_XQ99;_12MBL05CP003S_XQ01;_12MBL15EG901_ZQ10;_12MBP30CP001S_XQ01;_12MBP30CT001S_OUT;_12MBP10CP003S_XQ01;_12MBP10CT003S_ZQ01;_11MBA10CP003S_XQ01;_11MBH40CT003S_XQ02;_11MBA10CG002S_XQ01;eficiencia_adiabatica_ug1;_12MBA10CP003S_XQ01;_12MBH40CT003S_XQ01;_12MBA10CG002S_XQ01;eficiencia_adiabatica_ug2
2022-05-11 00:00:00;0.0;179.55742;72.89346;-0.39221597;10.132183;1.4903185;252.59329;183.19995;184.1993;199.5007;27.701113;29.111162;26.487743;27.89357;1.169043;618.4085;624.46606;612.2189;618.03064;6.268913;94.09608;93.56269;28.474722;11.128889;46.41115;57.793396;47.793278;55.866886;0.0;0.0;0.0;423.74097;418.60583;334.48322;105.63865;26.739569;25.113018;2.5969265;548.04034;413.21548;548.19116;272.67245;0.09831183;0.052947868;0.13294885;60.06;59.95462;46.776505;47.339405;73.05335;86.75869;48.219154;48.35599;58.811646;60.639355;0.0;10099.723;7190.182;2.0579557;2.057975;2.0578856;0.4479901;0.46027863;0.4417596;192.0;30548.332;36626.68;241.0;29971.633;37281.234;157.0;27322.578;27145.771;29.404745;100.865875;72.11785;99.99149;27.651382;14.275109;86.74387;28.811607;100.85527;79.016045;3435.5625;27.168266;457.61987;415.74884;100.420815;28.68655;-5.847821;71.144485;1649.1017;443.2035;-2.9866128;89.23519
2022-05-11 00:01:00;0.0;179.37785;72.6809;-0.39209488;10.505588;1.6267695;252.11647;183.21196;184.21677;199.51741;27.635668;29.106993;26.44342;27.80501;1.1883756;618.53937;624.6035;612.313;618.147;6.35326;94.060455;93.560814;28.66884;10.982223;46.415768;57.795322;47.793964;55.867424;0.0;0.0;0.0;423.73285;418.61475;334.40707;105.67561;26.75656;25.136248;2.5910447;548.0461;413.32095;548.163;272.68826;0.09827271;0.053006355;0.1329372;59.48362;59.399048;46.777214;47.338707;73.13873;86.6786;48.216656;48.35353;58.8159;60.634705;0.0;10088.069;7187.2627;2.0579548;2.0579436;2.0578892;0.44744816;0.46061704;0.44180965;192.0;30548.332;36626.68;241.0;29971.65;37281.25;157.0;27322.594;27145.791;29.396067;100.867226;72.22322;99.99386;27.623728;14.240331;86.62083;28.752348;100.85675;79.0869;3435.354;27.201166;458.17236;415.72647;100.46717;28.67685;-5.848381;53.257584;1648.9321;443.22382;-2.9751878;89.22856
2022-05-11 00:02:00;0.0;179.53275;72.766335;-0.3919738;10.586497;1.7632205;252.15553;183.22363;184.23424;199.52612;27.570225;29.118864;26.3991;27.725853;1.2075024;618.6702;624.73584;612.40717;618.2832;6.438908;94.02484;93.56121;28.883823;10.848366;46.420383;57.797245;47.79465;55.86796;0.0;0.0;0.0;423.72476;418.6237;334.42224;105.70537;26.77355;25.165804;2.5968063;548.0518;413.38855;548.1349;272.70407;0.09830615;0.053064846;0.13292553;59.447266;59.366116;46.77223;47.336784;73.22622;86.757034;48.22029;48.352036;58.835667;60.6557;0.0;10091.9795;7188.4463;2.0579538;2.0579567;2.057893;0.44726875;0.46096238;0.4418538;192.0;30548.332;36626.68;241.0;29971.666;37281.27;157.0;27322.61;27145.809;29.387388;100.86857;72.37091;99.99622;27.597067;14.173593;86.570244;28.709463;100.85823;79.484276;3435.1458;27.206728;458.2618;415.70407;100.513535;28.667147;-5.8489413;38.787636;1648.7626;443.24414;-2.963763;89.22194
2022-05-11 00:03:00;0.0;179.7484;72.82505;-0.3918527;10.667406;1.8996714;252.2868;183.23529;184.2517;199.53484;27.50478;29.130735;26.354776;27.646694;1.2253681;618.84937;624.8681;612.5013;618.4195;6.5319486;93.98931;93.563354;29.084103;10.693871;46.425;57.799168;47.795338;55.8685;0.0;0.0;0.0;423.71664;418.63263;334.43744;105.73494;26.781702;25.172972;2.5968626;548.0575;413.45612;548.10675;272.71988;0.09832828;0.053123336;0.13291387;59.4377;59.350903;46.77304;47.336815;73.26422;86.800476;48.220444;48.353127;58.83197;60.65779;0.0;10106.526;7195.558;2.0579526;2.0579698;2.0578966;0.44800398;0.4612775;0.4419994;192.0;30548.332;36626.68;241.0;29971.684;37281.285;157.0;27322.625;27145.828;29.378977;100.86992;72.498604;99.99859;27.576406;14.246254;86.65823;28.697582;100.85971;79.308624;3434.9375;27.212288;458.09933;415.68167;100.5599;28.657446;-5.8495016;39.39006;1648.5164;443.26447;-2.952338;89.21531
2022-05-11 00:04:00;0.0;179.82538;72.56193;-0.39173165;10.748316;2.0361226;252.41397;183.24696;184.2513;199.53577;27.469765;29.142607;26.310455;27.567535;1.2432339;619.1211;625.4626;612.5954;618.5557;6.5224404;93.95384;93.5655;29.20718;10.464117;46.429615;57.802734;47.796024;55.869038;0.0;0.0;0.0;423.70853;418.64154;334.45264;105.76282;26.786924;25.18014;2.594413;548.06323;413.52368;548.0786;272.7357;0.09834471;0.053181823;0.13290222;59.48048;59.373497;46.77385;47.340134;73.11602;86.66805;48.219654;48.354996;58.816837;60.660034;0.0;10098.892;7185.752;2.0579517;2.057983;2.0579004;0.44917652;0.46190554;0.44195032;192.0;30548.332;36626.68;241.0;29971.7;37281.3;157.0;27322.64;27145.848;29.371077;100.87126;72.57324;100.00095;27.555746;14.23749;86.74622;28.685703;100.86119;78.896355;3434.7292;27.21785;457.88953;415.65927;100.60212;28.647743;-5.8500614;39.99249;1648.2692;443.2848;-2.9845383;89.209496
2022-05-11 00:05:00;0.0;179.73561;72.5307;-0.39161056;10.829226;2.132357;252.43388;183.25862;184.21158;199.52065;27.500212;29.15448;26.335674;27.579899;1.2610997;619.17004;625.0942;612.7426;618.6837;6.397099;93.91837;93.56764;29.386665;10.358235;46.43423;57.80756;47.79671;55.869576;0.0;0.0;0.0;423.7004;418.65048;334.46783;105.790695;26.795671;25.227112;2.5919635;548.1135;413.59125;548.0504;272.7515;0.09836114;0.053240314;0.13289055;59.497803;59.432438;46.77466;47.33844;73.144196;86.69208;48.219257;48.352222;58.833946;60.639267;0.0;10095.051;7186.2666;2.0579505;2.057996;2.057904;0.45096016;0.462519;0.4432368;192.0;30548.332;36626.68;241.0;29971.717;37281.316;157.0;27322.656;27145.865;29.363176;100.87261;72.64788;100.00333;27.535086;14.30153;86.83421;28.673822;100.86267;78.960075;3434.521;27.22341;457.87344;415.63687;100.596504;28.638042;-5.8506217;40.994614;1648.022;443.3051;-3.0024338;89.20457
2022-05-11 00:06:00;0.0;179.71033;72.86767;-0.39148948;10.910134;1.959419;252.45381;183.2703;184.17188;199.50552;27.53066;29.166351;26.38231;27.618298;1.2789655;618.9806;625.2434;612.89264;618.79504;6.4141507;93.88327;93.569786;29.653877;10.250209;46.438847;57.812386;47.797398;55.87015;0.0;0.0;0.0;423.73862;418.65942;334.483;105.82213;26.814573;25.275267;2.5972788;548.2297;413.6588;548.0636;272.7673;0.09843475;0.053298805;0.1328789;59.49714;59.414833;46.775467;47.338768;73.271645;86.80648;48.217484;48.3522;58.8245;60.61155;0.0;10081.326;7175.5806;2.0579495;2.0580091;2.0579078;0.45272595;0.4634191;0.4435385;192.0;30548.332;36626.68;241.0;29971.732;37281.336;157.0;27322.672;27145.885;29.355276;100.873955;72.71756;100.00569;27.514425;14.164789;86.9222;28.666359;100.86415;78.79585;3434.3127;27.22897;457.76166;415.61447;100.59089;28.62834;-5.8511815;42.293884;1647.7748;443.32544;-3.0032313;89.22527
2022-05-11 00:07:00;0.0;179.67288;72.60196;-0.3913684;10.991044;1.7665043;252.47372;183.28195;184.09912;199.47781;27.561108;29.178223;26.42895;27.656694;1.2968313;619.4333;625.64636;613.0086;618.90643;6.472891;93.849625;93.56881;29.845394;10.131458;46.442528;57.81721;47.798088;55.870853;0.0;0.0;0.0;423.7792;418.66833;334.4982;105.855;26.828651;25.187235;2.6340823;548.34576;413.71616;548.14026;272.7831;0.09848987;0.05279996;0.13284285;59.576057;59.483067;46.776276;47.341145;73.11656;86.662704;48.216858;48.35574;58.794807;60.618313;0.0;10105.033;7190.0195;2.0579486;2.05799;2.0579114;0.4541879;0.46357906;0.4430866;192.0;30548.332;36626.68;241.0;29971.75;37281.35;157.0;27322.686;27145.902;29.347374;100.87526;72.78515;100.00806;27.493765;14.214025;87.01019;28.69083;100.86563;78.535706;3434.1045;27.234531;457.7779;415.59207;100.58527;28.618639;-5.851529;43.593155;1647.5276;443.34576;-3.0040288;89.23665
2022-05-11 00:08:00;0.0;179.58208;72.8522;-0.3912473;11.071954;1.5086288;252.49364;183.29362;184.00012;199.48604;27.628582;29.190094;26.475586;27.695093;1.2912521;619.6578;625.99817;613.1707;619.0178;6.5316305;93.81598;93.56749;30.019524;9.946756;46.445896;57.82204;47.798775;55.87155;0.0;0.0;0.0;423.8426;418.67728;334.5134;105.88946;26.822315;25.200415;2.608328;548.4619;413.7575;548.21686;272.79892;0.09838154;0.05291468;0.1327891;59.53959;59.466713;46.777084;47.337715;73.10547;86.6797;48.218376;48.35546;58.761932;60.564777;0.0;10109.242;7185.4497;2.0579474;2.057946;2.0579152;0.45523286;0.46366495;0.4427897;192.0;30548.332;36626.68;241.0;29971.766;37281.367;157.0;27322.701;27145.922;29.339474;100.87639;72.832924;100.01042;27.473104;14.197906;87.08844;28.7153;100.86711;78.21758;3433.8962;27.240091;457.6338;415.56967;100.57966;28.608936;-5.8512673;44.892426;1647.2804;443.3661;-3.0025537;89.17585
2022-05-11 00:09:00;0.0;179.5423;73.05485;-0.39112622;11.152863;1.857628;252.51357;183.30486;183.86273;199.42227;27.710133;29.212627;26.518673;27.734703;1.1891745;619.9448;625.87054;613.5255;619.30145;6.514536;93.78233;93.56616;30.248463;9.752963;46.44927;57.826866;47.79946;55.872253;0.0;0.0;0.0;423.93002;418.68622;334.52856;105.924286;26.81598;25.212177;2.609395;548.57806;413.79886;548.29346;272.81473;0.09827321;0.052769266;0.13273536;59.425983;59.360134;46.77242;47.339794;73.05114;86.61015;48.21855;48.35592;58.738705;60.54606;0.0;10116.807;7183.7886;2.0579464;2.0579693;2.0579188;0.45550162;0.46376044;0.44319752;192.0;30548.332;36626.68;241.0;29971.783;37281.387;157.0;27322.717;27145.941;29.331573;100.877525;72.85614;100.01279;27.452444;14.275447;87.12928;28.754772;100.868744;77.65538;3433.7627;27.245653;457.87543;415.54727;100.57404;28.599236;-5.851006;45.68739;1647.9753;443.3864;-2.9966774;89.2223
2022-05-11 00:10:00;0.0;179.80632;73.36977;-0.39100516;11.233772;2.0674622;252.64085;183.31604;183.71606;199.36647;27.769283;29.289307;26.55786;27.775318;1.1625861;620.371;626.23926;613.88025;619.61304;6.442864;93.7448;93.56484;30.459314;9.641852;46.45264;57.83069;47.80015;55.872955;0.0;0.0;0.0;424.01715;418.69516;334.54376;105.93838;26.809645;25.197544;2.610462;548.6966;413.84024;548.3701;272.83054;0.09816487;0.052623853;0.13268161;59.449543;59.36257;46.773174;47.336422;73.06849;86.62123;48.21681;48.35489;58.7086;60.536865;0.0;10111.381;7184.292;2.0579455;2.0579927;2.0579226;0.45508483;0.46369305;0.4435368;192.0;30548.332;36626.68;241.0;29971.8;37281.402;157.0;27322.732;27145.959;29.323673;100.87866;72.87936;100.01516;27.431784;14.316953;87.17012;28.807156;100.87039;76.86058;3433.8916;27.251213;457.7791;415.52487;100.56843;28.589533;-5.8507442;46.4351;1646.8177;443.4607;-2.9908013;89.19176
2022-05-11 00:11:00;0.0;179.67297;73.12204;-0.39088407;11.279463;1.6690922;252.76244;183.32722;183.6022;199.32317;27.808128;29.365986;26.597046;27.815935;1.200437;620.77423;626.9864;614.43915;619.929;6.3711915;93.705;93.56352;30.626455;9.519756;46.45601;57.832653;47.800854;55.873657;0.0;0.0;0.0;424.10315;418.75354;334.55896;105.94534;26.803308;25.18291;2.6115289;548.8173;413.8816;548.4467;272.84634;0.09805654;0.05252739;0.13262786;59.422806;59.33796;46.77393;47.337162;73.12954;86.694984;48.215565;48.353863;58.71652;60.53913;0.0;10098.67;7184.796;2.0579443;2.0579426;2.0579262;0.4543785;0.46351048;0.44317198;192.0;30548.332;36626.68;241.0;29971.816;37281.418;157.0;27322.748;27145.979;29.315945;100.87979;72.90257;100.017525;27.411123;14.268155;87.21096;28.904076;100.87203;76.2498;3434.0205;27.256775;457.59708;415.50247;100.56281;28.579832;-5.8504825;47.18281;1646.161;443.64444;-2.986982;89.18134
2022-05-11 00:12:00;0.0;179.61987;73.3001;-0.39076298;11.016438;1.836711;252.7915;183.33842;183.45718;199.26802;27.848131;29.388035;26.684982;27.848354;1.2183597;620.9938;627.51025;614.7852;620.2674;6.315049;93.6652;93.562195;30.7925;9.383493;46.45938;57.834618;47.80156;55.87436;0.0;0.0;0.0;424.18915;418.8711;334.57416;105.951904;26.796972;25.168278;2.6109755;548.93805;413.92294;548.5234;272.86215;0.09798598;0.052555114;0.13257411;59.42612;59.300636;46.774685;47.337048;73.19497;86.75387;48.218708;48.352833;58.704132;60.52991;0.0;10104.076;7183.1465;2.0579433;2.0579472;2.05793;0.4542702;0.46341506;0.44168732;192.0;30548.332;36626.68;241.0;29971.834;37281.434;157.0;27322.768;27145.996;29.308355;100.88093;72.925865;100.01989;27.390463;14.229878;87.2518;29.005096;100.87368;75.88587;3433.6755;27.262335;457.82812;415.48007;100.55719;28.57013;-5.8502226;47.930523;1645.9222;443.80948;-2.9874458;89.16703
2022-05-11 00:13:00;0.0;179.67343;73.41833;-0.3906419;10.753412;1.9600533;252.82059;183.34961;183.35532;199.2293;27.893692;29.366547;26.776901;27.88016;1.2036946;621.387;627.90955;614.9183;620.6371;6.4096527;93.63071;93.560875;31.008;9.224458;46.462986;57.83658;47.80226;55.875057;0.0;0.0;0.0;424.27518;418.98865;334.58932;105.958;26.790636;25.153646;2.6084495;549.0588;413.9643;548.6128;272.87796;0.09795523;0.052608836;0.13252036;59.472713;59.374756;46.77544;47.335785;73.08299;86.66766;48.2173;48.351807;58.700813;60.520866;0.0;10127.374;7180.5186;2.0579872;2.0579515;2.0579336;0.45461798;0.4635651;0.4412908;192.0;30548.332;36626.68;241.0;29971.85;37281.453;157.0;27322.785;27146.016;29.300766;100.882065;72.9492;100.022255;27.369802;14.163671;87.28709;29.101236;100.87532;75.4327;3433.2778;27.267895;457.86002;415.45767;100.551575;28.560429;-5.849965;48.678234;1645.6833;443.87125;-2.9879096;89.27531
2022-05-11 00:14:00;0.0;179.58139;73.39948;-0.3912385;10.490387;1.5102341;252.84967;183.3608;183.2457;199.18762;27.939255;29.345057;26.814299;27.911966;1.1890295;621.81165;628.2933;615.0741;620.9205;6.496839;93.605354;93.559555;31.176;9.056543;46.466644;57.838543;47.802967;55.87576;0.0;0.0;0.0;424.28043;419.08084;334.6423;105.96409;26.7843;25.157612;2.6059234;549.1795;413.98587;548.7188;272.89377;0.098025575;0.05268087;0.13262185;59.47196;59.362934;46.776196;47.334244;73.12903;86.68669;48.21768;48.35078;58.700466;60.52467;0.0;10121.024;7184.115;2.0579915;2.0579557;2.0579374;0.45548588;0.46385026;0.44165987;192.0;30548.332;36626.68;241.0;29971.867;37281.47;157.0;27322.805;27146.033;29.293179;100.883194;72.97254;100.02462;27.34914;14.199083;87.32097;29.185398;100.87688;75.08657;3432.8804;27.273457;457.89758;415.43527;100.54596;28.550726;-5.8497076;49.425945;1643.8206;443.93304;-2.988373;89.27046
2022-05-11 00:15:00;0.0;179.8558;73.56071;-0.3919515;10.7413025;2.0031333;253.15942;183.37198;183.21545;199.17612;27.964252;29.323568;26.833378;27.931469;1.1743643;622.142;627.99426;615.48016;621.128;6.578507;93.58;93.55823;31.37603;8.891905;46.470303;57.840508;47.80367;55.87646;0.0;0.0;0.0;424.2529;419.17035;334.78543;105.97018;26.777964;25.242409;2.6033974;549.19116;413.8827;548.8249;272.8746;0.09804935;0.0527529;0.13259761;59.56134;59.483997;46.77695;47.332706;73.11908;86.69021;48.215538;48.35312;58.674263;60.512703;0.0;10113.86;7173.8003;2.0579543;2.05796;2.057941;0.45667273;0.46475288;0.44347772;192.0;30548.332;36626.68;241.0;29971.883;37281.484;157.0;27322.824;27146.05;29.28559;100.88433;73.00202;100.02699;27.32848;14.251695;87.35486;29.25383;100.878365;74.907364;3432.4827;27.279016;457.67926;415.41287;100.540344;28.541025;-5.8494506;50.173656;1645.4846;443.99484;-2.9888368;89.26474
